image_id,label,class_name,condition,width,height,filename,relative_path,split
1,0,pedestrian crossing,opened,1612,1847,IMG_20241029_173841.jpg,dataset_top12\pedestrian crossing\opened\IMG_20241029_173841.jpg,test
2,0,pedestrian crossing,opened,1309,1596,IMG_20241029_173844.jpg,dataset_top12\pedestrian crossing\opened\IMG_20241029_173844.jpg,train
3,0,pedestrian crossing,opened,1400,1662,IMG_20241029_173847_1.jpg,dataset_top12\pedestrian crossing\opened\IMG_20241029_173847_1.jpg,train
4,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-09_12-49-48.jpg,train
5,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-18_02-25-50.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-18_02-25-50.jpg,train
6,0,pedestrian crossing,opened,960,1047,photo_100_2024-12-18_02-33-06.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-18_02-33-06.jpg,train
7,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-18_13-05-57.jpg,validation
8,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-18_13-06-32.jpg,train
9,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-19_00-10-31.jpg,train
10,0,pedestrian crossing,opened,960,1280,photo_100_2024-12-19_02-04-55.jpg,dataset_top12\pedestrian crossing\opened\photo_100_2024-12-19_02-04-55.jpg,train
11,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-09_12-46-01.jpg,train
12,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-09_12-50-33.jpg,train
13,0,pedestrian crossing,opened,619,619,photo_10_2024-12-18_02-25-50.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_02-25-50.jpg,test
14,0,pedestrian crossing,opened,1280,830,photo_10_2024-12-18_02-27-08.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_02-27-08.jpg,train
