image_id,label,class_name,condition,width,height,filename,relative_path
4229,7,stop line,opened,733,761,photo_33_2024-12-18_02-11-31.jpg,dataset_top12\stop line\opened\photo_33_2024-12-18_02-11-31.jpg
3001,2,tow truck,closed,1280,664,photo_41_2024-12-07_12-46-04.jpg,dataset_top12\tow truck\closed\photo_41_2024-12-07_12-46-04.jpg
4053,6,left,opened,164,162,photo_34_2024-04-25_12-41-12.jpg,dataset_top12\left\opened\photo_34_2024-04-25_12-41-12.jpg
1247,0,pedestrian crossing,closed,960,1280,photo_34_2024-12-07_12-49-18.jpg,dataset_top12\pedestrian crossing\closed\photo_34_2024-12-07_12-49-18.jpg
3439,4,parking place,opened,960,1280,photo_30_2024-12-18_02-17-32.jpg,dataset_top12\parking place\opened\photo_30_2024-12-18_02-17-32.jpg
953,0,pedestrian crossing,closed,4640,3472,IMG_20241029_174152.jpg,dataset_top12\pedestrian crossing\closed\IMG_20241029_174152.jpg
2977,2,tow truck,closed,1702,1687,IMG_20241017_160635.jpg,dataset_top12\tow truck\closed\IMG_20241017_160635.jpg
398,0,pedestrian crossing,opened,960,1280,photo_45_2024-12-06_22-25-52.jpg,dataset_top12\pedestrian crossing\opened\photo_45_2024-12-06_22-25-52.jpg
3361,4,parking place,opened,960,1280,photo_10_2024-12-18_13-07-03.jpg,dataset_top12\parking place\opened\photo_10_2024-12-18_13-07-03.jpg
4658,9,straight,opened,1240,1376,IMG_0804_6.JPG,dataset_top12\straight\opened\IMG_0804_6.JPG
4262,7,stop line,opened,656,654,photo_49_2024-12-18_02-27-47.jpg,dataset_top12\stop line\opened\photo_49_2024-12-18_02-27-47.jpg
3737,5,maximum speed limit_40,opened,741,739,photo_44_2024-12-19_01-58-39.jpg,dataset_top12\maximum speed limit_40\opened\photo_44_2024-12-19_01-58-39.jpg
2658,1,give way,closed,960,1280,photo_73_2024-12-07_12-48-37.jpg,dataset_top12\give way\closed\photo_73_2024-12-07_12-48-37.jpg
1566,0,pedestrian crossing,closed,387,445,photo_5278624148517676617_y.jpg,dataset_top12\pedestrian crossing\closed\photo_5278624148517676617_y.jpg
3169,3,no stopping,opened,578,541,photo_7_2024-12-19_01-58-39.jpg,dataset_top12\no stopping\opened\photo_7_2024-12-19_01-58-39.jpg
881,0,pedestrian crossing,opened,960,1280,photo_99_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_99_2024-12-18_13-06-32.jpg
3857,5,maximum speed limit_40,closed,923,860,IMG_20241017_181542.jpg,dataset_top12\maximum speed limit_40\closed\IMG_20241017_181542.jpg
1998,0,pedestrian crossing,closed,960,1280,photo_84_2024-10-29_09-53-51.jpg,dataset_top12\pedestrian crossing\closed\photo_84_2024-10-29_09-53-51.jpg
3647,4,parking place,closed,720,1280,photo_5278624148517676543_y.jpg,dataset_top12\parking place\closed\photo_5278624148517676543_y.jpg
397,0,pedestrian crossing,opened,960,1066,photo_44_2024-12-18_13-02-04.jpg,dataset_top12\pedestrian crossing\opened\photo_44_2024-12-18_13-02-04.jpg
2526,1,give way,closed,960,1280,photo_39_2024-12-06_22-24-22.jpg,dataset_top12\give way\closed\photo_39_2024-12-06_22-24-22.jpg
2613,1,give way,closed,960,1280,photo_54_2024-10-29_09-53-08.jpg,dataset_top12\give way\closed\photo_54_2024-10-29_09-53-08.jpg
222,0,pedestrian crossing,opened,960,1280,photo_28_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_28_2024-12-18_12-58-24.jpg
885,0,pedestrian crossing,opened,960,1280,photo_9_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_9_2024-12-18_02-27-47.jpg
4928,10,bus stop,closed,960,1280,photo_32_2024-12-06_22-23-51.jpg,dataset_top12\bus stop\closed\photo_32_2024-12-06_22-23-51.jpg
5151,11,no entry,opened,960,1280,photo_92_2024-12-18_02-17-59.jpg,dataset_top12\no entry\opened\photo_92_2024-12-18_02-17-59.jpg
914,0,pedestrian crossing,closed,4624,3468,20241102_121608.jpg,dataset_top12\pedestrian crossing\closed\20241102_121608.jpg
4798,9,straight,opened,57,57,photo_7_2024-04-25_12-41-12_s_8.jpg,dataset_top12\straight\opened\photo_7_2024-04-25_12-41-12_s_8.jpg
3906,5,maximum speed limit_40,closed,1280,542,photo_65_2024-12-05_22-22-53.jpg,dataset_top12\maximum speed limit_40\closed\photo_65_2024-12-05_22-22-53.jpg
3984,6,left,opened,393,387,photo_10_2024-11-28_18-31-49.jpg,dataset_top12\left\opened\photo_10_2024-11-28_18-31-49.jpg
4130,6,left,opened,288,290,photo_8_2024-04-25_12-20-30.jpg,dataset_top12\left\opened\photo_8_2024-04-25_12-20-30.jpg
3835,5,maximum speed limit_40,opened,773,745,photo_92_2024-12-19_00-10-31.jpg,dataset_top12\maximum speed limit_40\opened\photo_92_2024-12-19_00-10-31.jpg
2616,1,give way,closed,901,1280,photo_55_2024-12-07_12-47-32.jpg,dataset_top12\give way\closed\photo_55_2024-12-07_12-47-32.jpg
4433,8,right,opened,1130,1103,IMG_0813.JPG,dataset_top12\right\opened\IMG_0813.JPG
1811,0,pedestrian crossing,closed,1071,974,photo_66_2024-12-07_12-48-37.jpg,dataset_top12\pedestrian crossing\closed\photo_66_2024-12-07_12-48-37.jpg
3539,4,parking place,opened,960,1280,photo_63_2024-12-18_13-06-32.jpg,dataset_top12\parking place\opened\photo_63_2024-12-18_13-06-32.jpg
1701,0,pedestrian crossing,closed,960,1280,photo_55_2024-12-07_12-49-18.jpg,dataset_top12\pedestrian crossing\closed\photo_55_2024-12-07_12-49-18.jpg
1116,0,pedestrian crossing,closed,1077,1280,photo_21_2024-12-07_12-48-02.jpg,dataset_top12\pedestrian crossing\closed\photo_21_2024-12-07_12-48-02.jpg
5006,10,bus stop,closed,960,1280,photo_86_2024-12-07_12-51-07.jpg,dataset_top12\bus stop\closed\photo_86_2024-12-07_12-51-07.jpg
3015,2,tow truck,closed,1280,1062,photo_75_2024-12-05_22-23-25.jpg,dataset_top12\tow truck\closed\photo_75_2024-12-05_22-23-25.jpg
750,0,pedestrian crossing,opened,960,1280,photo_83_2024-12-19_02-04-55.jpg,dataset_top12\pedestrian crossing\opened\photo_83_2024-12-19_02-04-55.jpg
2223,1,give way,opened,1084,1280,photo_32_2024-12-07_12-46-04.jpg,dataset_top12\give way\opened\photo_32_2024-12-07_12-46-04.jpg
722,0,pedestrian crossing,opened,960,1280,photo_80_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_80_2024-12-18_12-58-24.jpg
