,precision,recall,f1-score,support
pedestrian crossing,0.975609756097561,0.9968847352024922,0.9861325115562404,321.0
give way,0.9770114942528736,0.9659090909090909,0.9714285714285714,88.0
tow truck,0.9591836734693877,0.9591836734693877,0.9591836734693877,49.0
no stopping,1.0,0.9787234042553191,0.989247311827957,47.0
parking place,0.9772727272727273,0.9347826086956522,0.9555555555555556,46.0
maximum speed limit_40,1.0,1.0,1.0,40.0
left,1.0,0.918918918918919,0.9577464788732394,37.0
stop line,0.8787878787878788,0.8529411764705882,0.8656716417910447,34.0
right,0.9375,0.8823529411764706,0.9090909090909091,34.0
straight,0.8,0.9655172413793104,0.875,29.0
bus stop,1.0,0.9285714285714286,0.9629629629629629,28.0
no entry,1.0,0.9583333333333334,0.9787234042553191,24.0
macro avg,0.9587804608233691,0.9451765460318327,0.9508952517342656,777.0
weighted avg,0.9678971383975589,0.9665379665379665,0.9666541838096832,777.0
accuracy,0.9665379665379665,0.9665379665379665,0.9665379665379665,777.0
