,pedestrian crossing,give way,tow truck,no stopping,parking place,maximum speed limit_40,left,stop line,right,straight,bus stop,no entry
pedestrian crossing,320,0,0,0,0,0,0,1,0,0,0,0
give way,1,85,0,0,1,0,0,1,0,0,0,0
tow truck,0,0,47,0,0,0,0,2,0,0,0,0
no stopping,1,0,0,46,0,0,0,0,0,0,0,0
parking place,3,0,0,0,43,0,0,0,0,0,0,0
maximum speed limit_40,0,0,0,0,0,40,0,0,0,0,0,0
left,0,0,0,0,0,0,34,0,1,2,0,0
stop line,1,1,2,0,0,0,0,29,0,1,0,0
right,0,0,0,0,0,0,0,0,30,4,0,0
straight,0,0,0,0,0,0,0,0,1,28,0,0
bus stop,2,0,0,0,0,0,0,0,0,0,26,0
no entry,0,1,0,0,0,0,0,0,0,0,0,23
